sample_index,bvp
0,0.0
1,0.0002987809180843405
2,0.0019114714816417077
3,0.005459557109451062
4,0.010780603232965544
5,0.016963617418498594
6,0.022656856525919887
7,0.026504766784002716
8,0.027522754717105906
9,0.025256518283282195
10,0.019680409785199016
11,0.010919680977120167
12,-0.0010260753093489922
13,-0.016372186436003636
14,-0.03534772687888537
15,-0.05774293305303767
16,-0.08238621138327926
17,-0.10680987184295977
18,-0.12733453688567287
19,-0.1396648173281336
20,-0.1398938560044023
21,-0.12564004833860418
22,-0.096951879797769
23,-0.056651795509519924
24,-0.009948017227589178
25,0.036914464500169206
26,0.07849668979164243
27,0.11046876624117995
28,0.13018278900902577
29,0.13697899482542386
30,0.13205369917313792
31,0.11794862109663361
32,0.09780993968174814
33,0.07461386432419263
34,0.050554203241584286
35,0.026735928237544133
36,0.0032326800249944145
37,-0.0205293103083133
38,-0.04518191154379357
39,-0.07079525874769876
40,-0.09641252700844637
41,-0.11988855815576832
42,-0.13810784411395358
43,-0.1475603504550126
44,-0.14515493139710697
45,-0.1290760732907867
46,-0.09946267549009823
47,-0.058714764786633664
48,-0.011348853523713561
49,0.03653025056875698
50,0.07931880060559846
51,0.1124905052277276
52,0.13321566504015062
53,0.14070340677436646
54,0.1360847003616525
55,0.12189503487157038
56,0.1013166852506367
57,0.07739138841476263
58,0.052404223902241406
59,0.027577933708820862
60,0.0031265931877830916
61,-0.021376312847830918
62,-0.046437492591589975
63,-0.07205855974298978
64,-0.09729772836526539
65,-0.12011471712101221
66,-0.13756839123962233
67,-0.14635014713438188
68,-0.143545998479361
69,-0.12745039623846946
70,-0.09822396552607525
71,-0.05820286730335909
72,-0.01177334375785045
73,0.035120833578611205
74,0.07705897045129217
75,0.10966802405586454
76,0.13020187892187424
77,0.13787005570369568
78,0.13373327237696883
79,0.12021656562368656
80,0.10038392718562271
81,0.07717282200474335
82,0.052786227080817164
83,0.02838601843072993
84,0.004144120753032098
85,-0.02038858136005263
86,-0.045717713893084294
87,-0.07181540192102102
88,-0.09767946128649756
89,-0.1211807979204005
90,-0.13927054986088197
91,-0.14853038213226671
92,-0.14595767773449966
93,-0.1298039731058482
94,-0.10024973057410708
95,-0.059714135814750505
96,-0.012711322898138326
97,0.034676099799302584
98,0.07690190576106823
99,0.1095258085807494
100,0.12980871453696485
101,0.13703282572610997
102,0.13237232083679148
103,0.11837702314795139
104,0.09822174230537012
105,0.0749226434630535
106,0.050718634770311834
107,0.02676183477608615
108,0.003173461590327175
109,-0.020575275741291307
110,-0.04508048161910955
111,-0.07039539463220786
112,-0.09557523429958446
113,-0.11852241257979686
114,-0.1362032187758008
115,-0.14521220369912963
116,-0.14256638641199482
117,-0.12654171433407319
118,-0.09733619747442233
119,-0.05736428813913395
120,-0.011090914734458916
121,0.03552491104347915
122,0.07707589690431337
123,0.10924552959340336
124,0.12938333345569242
125,0.1368011639629303
126,0.13263037093366925
127,0.11930733609581526
128,0.09984171270445953
129,0.07706711305799273
130,0.05306579419285718
131,0.028899225072608545
132,0.004686758506195621
133,-0.020015838613430998
134,-0.04565821295041913
135,-0.0721217021434573
136,-0.09830058560301375
137,-0.12197325766093889
138,-0.14002918816304433
139,-0.14903091016039802
140,-0.14600180659986306
141,-0.1292576131840168
142,-0.09906382275551792
143,-0.057921342268659866
144,-0.010408089897664138
145,0.03734283827410968
146,0.07976288679618203
147,0.11240624464251898
148,0.1325365244639086
149,0.13944440460020568
150,0.13431995742424893
151,0.11973916041520484
152,0.09891594394113051
153,0.07491859748967489
154,0.0500457623928054
155,0.025507776543250586
156,0.0014737213068647548
157,-0.022555171727711317
158,-0.047168974856699665
159,-0.0724414101376138
160,-0.09747107984962376
161,-0.12021668372225632
162,-0.1376988270874681
163,-0.1465479956956756
164,-0.14378659091134077
165,-0.12766268710734047
166,-0.09832117394737913
167,-0.05811523150587429
168,-0.011465234143273788
169,0.035662723084522695
170,0.07778564356218894
171,0.11047307784679321
172,0.13095781131092776
173,0.1384693110137408
174,0.13411757533008184
175,0.12038703731081589
176,0.10039450307023651
177,0.07711348115757485
178,0.05276169060478237
179,0.02849446833700307
180,0.004459790195534661
181,-0.01982605175409252
182,-0.04490505274602479
183,-0.07077844345295063
184,-0.09645995903337165
185,-0.11982213312366334
186,-0.1378066297838595
187,-0.1469810471661623
188,-0.14433198185936713
189,-0.1281091266520615
190,-0.09850082398694594
191,-0.05794043727925448
192,-0.010954359983031667
193,0.03636679815074443
194,0.07846847689747939
195,0.11091351227335776
196,0.13098238098926457
197,0.1379906333251223
198,0.1331498569304812
199,0.11903636988995547
200,0.09882733208001472
201,0.07551268293046684
202,0.05128352010828141
203,0.027239781474059838
204,0.0034684993280336826
205,-0.020557183362283765
206,-0.04539129095268724
207,-0.071018797328895
208,-0.09642667740725594
209,-0.11947483345396709
210,-0.1371258501677087
211,-0.14600513295162165
212,-0.14317794718292223
213,-0.12696468516969903
214,-0.09758634693384742
215,-0.05745054924844335
216,-0.011001725845806167
217,0.03578532110751
218,0.07747035586770167
219,0.10969995734732128
220,0.12978725622539355
221,0.1370210468196509
222,0.1325371932461365
223,0.11881269221262125
224,0.09893187750253453
225,0.07582211147831522
226,0.051652714672347444
227,0.027538607898912437
228,0.003603820318936232
229,-0.020636903121061298
230,-0.045702808832276315
231,-0.0715522143347232
232,-0.09714777051425336
233,-0.12032240781640793
234,-0.13801168988830742
235,-0.14682406431096198
236,-0.14382817646330961
237,-0.12737049580692697
238,-0.09771327323601894
239,-0.057307326337172726
240,-0.010628206013007718
241,0.036342867932115434
242,0.07818160832175898
243,0.1105557685242221
244,0.1307889812832144
245,0.1381603771532445
246,0.13377507973109465
247,0.12006655363255814
248,0.10007892012999141
249,0.07672294656799045
250,0.05219143376100332
251,0.027665576155946066
252,0.0033626478741103603
253,-0.02111211476846937
254,-0.04622190271443784
255,-0.07192425557486569
256,-0.09723935042211328
257,-0.12010150162044675
258,-0.13756327043580568
259,-0.14632982613751924
260,-0.1435142202920665
261,-0.12744023973831722
262,-0.09828941949920945
263,-0.058402111313713374
264,-0.012146391764928441
265,0.03457273698885673
266,0.07636391885845366
267,0.10888533372288312
268,0.1294163225906505
269,0.13717453165366403
270,0.133203747543789
271,0.11988923850614631
272,0.10024477522796338
273,0.07716325349616993
274,0.05282190175989679
275,0.028384055613335644
276,0.0040538117131432684
277,-0.020557920736444964
278,-0.04587932495498481
279,-0.07180563311256644
280,-0.09728241569158202
281,-0.12017811168305997
282,-0.1375076791571175
283,-0.14598093575500717
284,-0.1427631135340402
285,-0.12626944165217302
286,-0.09678792003276801
287,-0.056747109851050435
288,-0.010556434797165849
289,0.03589465956778331
290,0.07725525144368778
291,0.10924478294217721
292,0.1292171837950777
293,0.13646173825513105
294,0.13207831015310695
